date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:56	2043/2043	---MCZ	200	added ('OK')	text/plain	date:Thu,%2021%20Mar%202024%2016:00:00%20GMT	https://www.google.lk/robots.txt		(from )
16:39:57	38268/38268	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2011:09:56%20GMT	https://www.google.lk/	/tmp/www.google.com/202407121639/www.google.lk/index.html	(from )
16:39:57	354/354	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:09:57%20GMT	https://www.google.lk/imghp?hl=de&tab=wi	/tmp/www.google.com/202407121639/www.google.lk/imghp.08095.delayed	(from https://www.google.lk/)
16:39:59	5482/5482	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.lk/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	/tmp/www.google.com/202407121639/www.google.lk/images/branding/googlelogo/1x/googlelogo_white_background_color_272x92dp.png	(from https://www.google.lk/)
16:40:00	24585/24585	---MCZ	200	added ('OK')	application/xhtml+xml	date:Fri,%2012%20Jul%202024%2011:09:58%20GMT	https://www.google.lk/preferences?hl=de	/tmp/www.google.com/202407121639/www.google.lk/preferences0016	(from https://www.google.lk/)
16:40:01	295443/295443	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2011:10:00%20GMT	https://www.google.lk/advanced_search?hl=de&authuser=0	/tmp/www.google.com/202407121639/www.google.lk/advanced_search7f9d.html	(from https://www.google.lk/)
16:40:01	218/218	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:01%20GMT	https://www.google.lk/setprefs?sig=0_o5ESNE3j35XE7ffgNIDnVNSUkUM%3D&hl=en&source=homepage&sa=X&ved=0ahUKEwjui4fbrqGHAxU61QIHHXIfBeQQ2ZgBCAQ	/tmp/www.google.com/202407121639/www.google.lk/setprefs.4b325.delayed	(from https://www.google.lk/)
16:40:02	1133/1133	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:00:00%20GMT	https://www.google.lk/services/	/tmp/www.google.com/202407121639/www.google.lk/services/index.html	(from https://www.google.lk/)
16:40:02	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jul%202024%2011:10:02%20GMT	https://www.google.lk/intl/de/ads/	/tmp/www.google.com/202407121639/www.google.lk/intl/de/ads/index.html	(from https://www.google.lk/)
16:40:02	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jul%202024%2011:10:02%20GMT	https://www.google.lk/intl/de/about.html	/tmp/www.google.com/202407121639/www.google.lk/intl/de/about.5.delayed	(from https://www.google.lk/)
16:40:03	226/226	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jul%202024%2011:10:03%20GMT	https://www.google.lk/intl/de/about/	/tmp/www.google.com/202407121639/www.google.lk/intl/de/about/index.html	(from https://www.google.lk/)
16:40:03	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:03%20GMT	https://www.google.lk/setprefdomain?prefdom=US&sig=K_BIyhhoIrBCGXqLIf8342n-k9eAA%3D	/tmp/www.google.com/202407121639/www.google.lk/setprefdomain.65fdb.delayed	(from https://www.google.lk/)
16:40:04	1394/1394	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:00:00%20GMT	https://www.google.lk/intl/de/policies/privacy/	/tmp/www.google.com/202407121639/www.google.lk/intl/de/policies/privacy/index.html	(from https://www.google.lk/)
16:40:04	1386/1386	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2006:00:00%20GMT	https://www.google.lk/intl/de/policies/terms/	/tmp/www.google.com/202407121639/www.google.lk/intl/de/policies/terms/index.html	(from https://www.google.lk/)
16:40:04	318/318	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:04%20GMT	https://www.google.lk/url?q=https://myactivity.google.com/product/search/controls%3Futm_source%3Dgoogle%26utm_medium%3Dpref-page%26hl%3Dde%26authuser%3D0&opi=89978449&sa=U&ved=0ahUKEwiB-_7brqGHAxWI6QIHHXVeCuUQ7JsICAE&usg=AOvVaw1Bz8e_WOThNhEPnjfDPfbe	/tmp/www.google.com/202407121639/www.google.lk/url.77550.delayed	(from https://www.google.lk/preferences?hl=de)
16:40:05	269/269	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:05%20GMT	https://www.google.lk/url?q=/setting/search/privateresults%3Fhl%3Dde%26authuser%3D0&opi=89978449&sa=U&ved=0ahUKEwiB-_7brqGHAxWI6QIHHXVeCuUQ-vUJCAI&usg=AOvVaw1mzqpirAYkfSC6Ej_eG74l	/tmp/www.google.com/202407121639/www.google.lk/url.8f93e.delayed	(from https://www.google.lk/preferences?hl=de)
16:40:06	0/0	---M--	302	error ('Found')	application/binary	date:Fri,%2012%20Jul%202024%2011:10:06%20GMT	https://www.google.lk/setting/search/privateresults?hl=de&authuser=0	/tmp/www.google.com/202407121639/www.google.lk/setting/search/privateresults.97f9d.delayed	(from https://www.google.lk/preferences?hl=de)
16:40:07	0/0	---M--	302	error ('Found')	application/binary	date:Fri,%2012%20Jul%202024%2011:10:07%20GMT	https://www.google.lk/setting/search/privateresults/?hl=de&authuser=0	/tmp/www.google.com/202407121639/www.google.lk/setting/search/privateresults/index7f9d.html	(from https://www.google.lk/preferences?hl=de)
16:40:07	286/286	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:07%20GMT	https://www.google.lk/url?q=/safesearch%3Fhl%3Dde%26prev%3Dhttps://www.google.lk/preferences%3Fhl%253Dde&opi=89978449&sa=U&ved=0ahUKEwiB-_7brqGHAxWI6QIHHXVeCuUQ1fMKCAM&usg=AOvVaw1EdYnq41PdIoBq5D0UAy8c	/tmp/www.google.com/202407121639/www.google.lk/url.a5c7f.delayed	(from https://www.google.lk/preferences?hl=de)
16:40:08	4247/4247	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2011:10:08%20GMT	https://www.google.lk/safesearch?hl=de&prev=https://www.google.lk/preferences?hl%3Dde	/tmp/www.google.com/202407121639/www.google.lk/safesearch579e.html	(from https://www.google.lk/preferences?hl=de)
16:40:09	271/271	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:09%20GMT	https://www.google.lk/url?q=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dde%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwiB-_7brqGHAxWI6QIHHXVeCuUQ8KwCCAc&usg=AOvVaw2NTaxD9r1ORFwLgO8YcNZt	/tmp/www.google.com/202407121639/www.google.lk/url.caa26.delayed	(from https://www.google.lk/preferences?hl=de)
16:40:10	247/247	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:10%20GMT	https://www.google.lk/url?q=https://policies.google.com/privacy%3Fhl%3Dde%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwiB-_7brqGHAxWI6QIHHXVeCuUQ8awCCAg&usg=AOvVaw0Avd2UxFzJAba-Vz7k8VcB	/tmp/www.google.com/202407121639/www.google.lk/url.d5c96.delayed	(from https://www.google.lk/preferences?hl=de)
16:40:11	245/245	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:11%20GMT	https://www.google.lk/url?q=https://policies.google.com/terms%3Fhl%3Dde%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwiB-_7brqGHAxWI6QIHHXVeCuUQ8qwCCAk&usg=AOvVaw1kJ9jz07RkMQGX_LCDGKnf	/tmp/www.google.com/202407121639/www.google.lk/url.eeac2.delayed	(from https://www.google.lk/preferences?hl=de)
16:40:12	1600/1600	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:12%20GMT	https://www.google.lk/gci_91f30755d6a6b787dcc2a4062e6e9824.js	/tmp/www.google.com/202407121639/www.google.lk/gci_91f30755d6a6b787dcc2a4062e6e9824.f.delayed	(from https://www.google.lk/advanced_search?hl=de&authuser=0)
16:40:13	1563/1563	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:13%20GMT	https://www.google.lk/+/	/tmp/www.google.com/202407121639/www.google.lk/+/index.html	(from https://www.google.lk/advanced_search?hl=de&authuser=0)
16:40:13	344/344	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:13%20GMT	https://www.google.lk/webhp?tab=ww	/tmp/www.google.com/202407121639/www.google.lk/webhp.103d1f.delayed	(from https://www.google.lk/advanced_search?hl=de&authuser=0)
16:40:13	1565/1565	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:13%20GMT	https://www.google.lk/Edg/	/tmp/www.google.com/202407121639/www.google.lk/Edg/index.html	(from https://www.google.lk/advanced_search?hl=de&authuser=0)
16:40:14	0/-1	---M--	302	error ('')			https://www.google.lk/webhp?tab=ww	/tmp/www.google.com/202407121639/www.google.lk/webhp.113d1f.delayed	(from https://www.google.lk/advanced_search?hl=de&authuser=0)
16:40:14	271/271	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:14%20GMT	https://www.google.lk/url?q=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dde%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwj4l_vcrqGHAxUp-QIHHaNgCzMQ8KwCCAI&usg=AOvVaw1tDW-VxILo54LV1o8k-IaY	/tmp/www.google.com/202407121639/www.google.lk/url.12f9b0.delayed	(from https://www.google.lk/advanced_search?hl=de&authuser=0)
16:40:15	247/247	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:15%20GMT	https://www.google.lk/url?q=https://policies.google.com/privacy%3Fhl%3Dde%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwj4l_vcrqGHAxUp-QIHHaNgCzMQ8awCCAM&usg=AOvVaw2qYEIxZgeVucLHGQbcCprj	/tmp/www.google.com/202407121639/www.google.lk/url.135e41.delayed	(from https://www.google.lk/advanced_search?hl=de&authuser=0)
16:40:16	245/245	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:16%20GMT	https://www.google.lk/url?q=https://policies.google.com/terms%3Fhl%3Dde%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwj4l_vcrqGHAxUp-QIHHaNgCzMQ8qwCCAQ&usg=AOvVaw2xUv1v0XWlsm4DDSpBya2s	/tmp/www.google.com/202407121639/www.google.lk/url.148b1b.delayed	(from https://www.google.lk/advanced_search?hl=de&authuser=0)
16:40:17	1567/1567	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:17%20GMT	https://www.google.lk/gbar.C	/tmp/www.google.com/202407121639/www.google.lk/gbar.15.delayed	(from https://www.google.lk/advanced_search?hl=de&authuser=0)
16:40:18	1590/1590	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:18%20GMT	https://www.google.lk/intl/de/policies/privacy/curl	/tmp/www.google.com/202407121639/www.google.lk/intl/de/policies/privacy/curl.16.delayed	(from https://www.google.lk/intl/de/policies/privacy/)
16:40:19	1588/1588	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:19%20GMT	https://www.google.lk/intl/de/policies/terms/curl	/tmp/www.google.com/202407121639/www.google.lk/intl/de/policies/terms/curl.17.delayed	(from https://www.google.lk/intl/de/policies/terms/)
16:40:20	1945/1945	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.lk/images/branding/searchlogo/1x/googlelogo_desk_heirloom_color_150x55dp.gif	/tmp/www.google.com/202407121639/www.google.lk/images/branding/searchlogo/1x/googlelogo_desk_heirloom_color_150x55dp.gif	(from https://www.google.lk/safesearch?hl=de&prev=https://www.google.lk/preferences?hl%3Dde)
16:40:22	24587/24587	---MCZ	200	added ('OK')	application/xhtml+xml	date:Fri,%2012%20Jul%202024%2011:10:21%20GMT	https://www.google.lk/preferences?hl=de&sa=X&ved=0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ	/tmp/www.google.com/202407121639/www.google.lk/preferencesf6e0	(from https://www.google.lk/safesearch?hl=de&prev=https://www.google.lk/preferences?hl%3Dde)
16:40:22	398/398	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:20%20GMT	https://www.google.lk/?sca_esv=1e22c0f3b30bddf3&hl=de&output=search&ie=UTF-8	/tmp/www.google.com/202407121639/www.google.lk/index9a06.html	(from https://www.google.lk/safesearch?hl=de&prev=https://www.google.lk/preferences?hl%3Dde)
16:40:22	0/0	---M--	302	error ('Found')	application/binary	date:Fri,%2012%20Jul%202024%2011:10:20%20GMT	https://www.google.lk/setting/search/privateresults/?hl=de	/tmp/www.google.com/202407121639/www.google.lk/setting/search/privateresults/index0016.html	(from https://www.google.lk/setting/search/privateresults/?hl=de&authuser=0)
16:40:22	318/318	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:22%20GMT	https://www.google.lk/url?q=https://myactivity.google.com/product/search/controls%3Futm_source%3Dgoogle%26utm_medium%3Dpref-page%26hl%3Dde%26authuser%3D0&opi=89978449&sa=U&ved=0ahUKEwjts__mrqGHAxUf7gIHHVntBx4Q7JsICAE&usg=AOvVaw0VPq94hOtLnkqZLP4AN8pG	/tmp/www.google.com/202407121639/www.google.lk/url.1af402.delayed	(from https://www.google.lk/preferences?hl=de&sa=X&ved=0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ)
16:40:23	269/269	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:23%20GMT	https://www.google.lk/url?q=/setting/search/privateresults%3Fhl%3Dde%26authuser%3D0&opi=89978449&sa=U&ved=0ahUKEwjts__mrqGHAxUf7gIHHVntBx4Q-vUJCAI&usg=AOvVaw2aah3xiGZzOGm-uyxh1Z3V	/tmp/www.google.com/202407121639/www.google.lk/url.1bb416.delayed	(from https://www.google.lk/preferences?hl=de&sa=X&ved=0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ)
16:40:23	0/-1	---M--	302	error ('')			https://www.google.lk/setting/search/privateresults?hl=de&authuser=0	/tmp/www.google.com/202407121639/www.google.lk/setting/search/privateresults.1c7f9d.delayed	(from https://www.google.lk/preferences?hl=de&sa=X&ved=0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ)
16:40:24	344/344	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:24%20GMT	https://www.google.lk/url?q=/safesearch%3Fhl%3Dde%26prev%3Dhttps://www.google.lk/preferences%3Fhl%253Dde%2526sa%253DX%2526ved%253D0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ&opi=89978449&sa=U&ved=0ahUKEwjts__mrqGHAxUf7gIHHVntBx4Q1fMKCAM&usg=AOvVaw3GEWueftumFiopqYHEPCMv	/tmp/www.google.com/202407121639/www.google.lk/url.1d72d7.delayed	(from https://www.google.lk/preferences?hl=de&sa=X&ved=0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ)
16:40:26	4371/4371	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2011:10:25%20GMT	https://www.google.lk/safesearch?hl=de&prev=https://www.google.lk/preferences?hl%3Dde%26sa%3DX%26ved%3D0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ	/tmp/www.google.com/202407121639/www.google.lk/safesearchb331.html	(from https://www.google.lk/preferences?hl=de&sa=X&ved=0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ)
16:40:26	271/271	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:26%20GMT	https://www.google.lk/url?q=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dde%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwjts__mrqGHAxUf7gIHHVntBx4Q8KwCCAc&usg=AOvVaw3W6KK8ILHDkCZTrS6pJPlv	/tmp/www.google.com/202407121639/www.google.lk/url.1fd745.delayed	(from https://www.google.lk/preferences?hl=de&sa=X&ved=0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ)
16:40:27	247/247	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:27%20GMT	https://www.google.lk/url?q=https://policies.google.com/privacy%3Fhl%3Dde%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwjts__mrqGHAxUf7gIHHVntBx4Q8awCCAg&usg=AOvVaw3HRWzFp8r553Gs_E8kRadG	/tmp/www.google.com/202407121639/www.google.lk/url.203a4c.delayed	(from https://www.google.lk/preferences?hl=de&sa=X&ved=0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ)
16:40:28	245/245	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jul%202024%2011:10:28%20GMT	https://www.google.lk/url?q=https://policies.google.com/terms%3Fhl%3Dde%26fg%3D1&opi=89978449&sa=U&ved=0ahUKEwjts__mrqGHAxUf7gIHHVntBx4Q8qwCCAk&usg=AOvVaw1MIvnUlc0rkuckZeT6mZQY	/tmp/www.google.com/202407121639/www.google.lk/url.2108d9.delayed	(from https://www.google.lk/preferences?hl=de&sa=X&ved=0ahUKEwih6drgrqGHAxU46wIHHS1vCnoQ0o8LCAQ)
